wallet,final_score,score_longevity,score_activity_frequency,score_time_consistency,score_repayment_ratio,score_collateral_health,score_liquidation_penalty,score_asset_diversity,score_tx_size_volatility,score_borrow_activity,score_healthy_usage,raw_score,normalized_score
0x0c7b5f732501b3ac2f7832a6008cb7450aa8c92d,85.66920713911216,2.0,0.0016712183972407654,0.0,1.0,1.0,0.0,1.0,-0.07648068296382875,0.5,0.5,5.925190535433412,85.66920713911216
0x32a59b87352e980dd6ab1baf462696d28e63525d,84.75591210790778,2.0,0.003098224801783416,0.0,1.0,1.0,0.0,1.0,-0.14640481670870079,0.5,0.5,5.856693408093083,84.75591210790778
0x0b98c377b62702748898c5c4c9ccc2e2f35f084d,81.99223782763062,2.0,0.0003275782343030808,1.0,1.0,1.0,0.0,0.6666666666666666,-0.017576407828674166,0.0,0.0,5.6494178370722965,81.99223782763062
0xb9ddab19f88c9fb48181df2320872c60f203ef8b,81.90620850163023,2.0,0.00040233273357117763,1.0,1.0,1.0,0.0,0.6666666666666666,-0.024103361777971028,0.0,0.0,5.642965637622267,81.90620850163023
0xc9004eb172a1cf5afca47f38bea59231fbe96406,81.87185125148424,2.0,0.0003459111678501513,1.0,1.0,1.0,0.0,0.6666666666666666,-0.026623733973197523,0.0,0.0,5.640388843861319,81.87185125148424
0x15a295e9bcfcf93a8721dcb9a19330fc59771271,81.83509463523119,2.0,0.0004305943677459302,1.0,1.0,1.0,0.0,0.6666666666666666,-0.029465163392074452,0.0,0.0,5.637632097642339,81.83509463523119
0x44e88af9ccecc4de798737cc70ee011f6c38d00e,81.82530683634823,2.0,0.00028695709032485064,1.0,1.0,1.0,0.0,0.6666666666666666,-0.03005561103087414,0.0,0.0,5.6368980127261175,81.82530683634823
0xc1bd49fcdf54aeb8e9c71f2811787f1298926b16,81.6240660084827,2.0,0.00033353092338325664,1.0,1.0,1.0,0.0,0.6666666666666666,-0.045195246953847405,0.0,0.0,5.621804950636203,81.6240660084827
0x29f76911fdbe70dc238a057ddd1a4b1bed5c6cdf,81.42810427774575,2.0,0.00034909429777394096,1.0,1.0,1.0,0.0,0.6666666666666666,-0.059907940133510876,0.0,0.0,5.60710782083093,81.42810427774575
0xb4fdb4349a5df9516138f73a7ffc372fee15d607,80.98809968299811,2.0,0.0003970855802726138,1.0,1.0,1.0,0.0,0.6666666666666666,-0.09295627602208291,0.0,0.0,5.5741074762248575,80.98809968299811
0x2570f03e91680d658d7b7a46d43670ecaa7fcd90,80.92395288338989,2.0,0.0005370977670393451,1.0,1.0,1.0,0.0,0.6666666666666666,-0.09790729817946506,0.0,0.0,5.569296466254241,80.92395288338989
0xa6adde5c95641ea0a58ad7ba1348196c58792605,80.85662248118847,2.0,0.0004729492851938108,1.0,1.0,1.0,0.0,0.6666666666666666,-0.10289292986272658,0.0,0.0,5.564246686089135,80.85662248118847
0x016f333ccc88c77c9fc6b04be4e16249dcb5ae9f,80.806505756687,2.0,0.000362155530857396,1.0,1.0,1.0,0.0,0.6666666666666666,-0.10654089044599982,0.0,0.0,5.560487931751525,80.806505756687
0x6eaba52965fab0b404bebbda594a2ba72bdb6288,80.67657973209224,2.0,0.0003615228320811595,1.0,1.0,1.0,0.0,0.6666666666666666,-0.11628470959183072,0.0,0.0,5.5507434799069175,80.67657973209224
0x638848d41111b5f74706be8d79cde3e4247dd84b,80.52255099067686,2.0,0.0002727508370909444,1.0,1.0,1.0,0.0,0.6666666666666666,-0.1277480932029936,0.0,0.0,5.539191324300765,80.52255099067686
0xa5c3a513645a9a00cb561fed40438e9dfe0d6a69,80.4597771365949,2.0,0.0004597740601621542,1.0,1.0,1.0,0.0,0.6666666666666666,-0.13264315548221195,0.0,0.0,5.534483285244617,80.4597771365949
0xcf2405c6102adbb35ded8e844faa7605d90c45a5,80.39270548943321,2.0,0.0005198002613349959,1.0,1.0,1.0,0.0,0.6666666666666666,-0.13773355522051106,0.0,0.0,5.529452911707491,80.39270548943321
0x0da4822fa2a7163ec615ea77c4a0881894c1bfb9,80.36068185159124,2.0,0.00026243783332965037,1.0,1.0,1.0,0.0,0.6666666666666666,-0.139877965630655,0.0,0.0,5.527051138869342,80.36068185159124
0x9389e143dff86096766cd9ff82198857745a8d7b,80.348786585004,2.0,0.00035888303636315907,1.0,1.0,1.0,0.0,0.6666666666666666,-0.140866555827729,0.0,0.0,5.526158993875301,80.348786585004
0xfbb068e099d7ba67456b05b9762efaca88a29b62,79.03614177912286,1.8734916286149164,0.0005849454538364297,1.0,1.0,1.0,0.0,0.6666666666666666,-0.1130326073012056,0.0,0.0,5.427710633434215,79.03614177912286
0x9628be77fb3dcd890fd93a5d039092fca855d3cc,78.92145005599424,2.0,0.0014239834964268274,0.0,1.0,1.0,0.0,1.0,-0.0823152292968584,0.5,0.0,5.419108754199568,78.92145005599424
0x8888882f8f843896699869179fb6e4f7e3b58888,78.51754079862296,2.0,0.42432709884758024,0.7106344471296296,1.0,0.0,0.0,1.0,-0.2461459860804877,0.5,0.0,5.388815559896722,78.51754079862296
0x3043132b84d8c2923f065a8c32a4dbd46ef3eff7,78.23626176156779,1.7459600456621003,0.000627672101478887,1.0,1.0,1.0,0.0,0.6666666666666666,-0.04553475231266248,0.0,0.0,5.367719632117583,78.23626176156779
0xea70f086564e3cae2a5510f7cff7f7165709270b,77.1309624402821,1.6452009132420091,0.00066611342246301,1.0,1.0,1.0,0.0,0.6666666666666666,-0.0277115103099815,0.0,0.0,5.2848221830211575,77.1309624402821
0xe8301b6230b387a9298438e65952ecefb2d156b9,76.84175094255399,2.0,0.002312278202608346,0.0,1.0,0.3293834457508572,0.0,1.0,-0.06856440326191646,0.5,0.5,5.263131320691549,76.84175094255399
0x86f92d7ec49067226ac342cc00e668cb0285ed38,76.76761850207401,2.0,0.0002541699144852824,1.0,1.0,1.0,0.0,0.3333333333333333,-0.07601611559226759,0.0,0.0,5.257571387655551,76.76761850207401
0x91385788f4852bf621ae1d918df4a7324654f119,75.55557754101135,1.6489091831557585e-06,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,-0.0,0.5,0.0,5.16666831557585,75.55557754101135
0xfb7e3844348dc2eb31ec32f91aaa82fe5b7b2d71,75.50057452550374,2.0,0.00041988197015764225,1.0,1.0,0.0,0.0,0.6666666666666666,-0.004543459224044569,0.5,0.0,5.162543089412781,75.50057452550374
0x9ce8f85083fcf364467a827cb15730102306ed1c,75.3523833078894,2.0,0.005790437795810666,0.0,1.0,0.231616291768,0.0,1.0,-0.0859779814721061,0.5,0.5,5.151428748091704,75.3523833078894
0xbfe1364efb0a1e01241f058a6039f43fea88cfc5,74.97693781250787,1.7668554033485542,0.3237700116468991,0.21147921276124337,1.0,1.0,0.0,1.0,-0.1788342918186063,0.0,0.0,5.1232703359380904,74.97693781250787
0xf0163f66ec80dda288e753e0a62c8eb71cd38684,74.89113739216289,2.0,0.1974311483104918,0.5037576252496694,1.0,0.0,0.0,1.0,-0.08435346914794423,0.5,0.0,5.116835304412216,74.89113739216289
0xf859a1ad94bcf445a406b892ef0d3082f4174088,74.80068216802847,2.0,0.47741666078138323,0.8698783461292989,1.0,1.0,0.0,0.3333333333333333,-0.5705771776418803,0.0,0.0,5.110051162602136,74.80068216802847
0xe8fe355df3987200d04cf17a8fbeb9f7d085aed9,74.6150262233552,1.887970319634703,0.0005804595546665926,1.0,1.0,1.0,0.0,0.3333333333333333,-0.12575714577106287,0.0,0.0,5.09612696675164,74.6150262233552
0x9eacf519f5a1e072339463a61143602e696c751c,74.50564068719567,2.0,0.0007977727893235208,0.0,1.0,1.0,0.0,0.6666666666666666,-0.07954138791631556,0.5,0.0,5.087923051539675,74.50564068719567
